Page Number,"Part of Speech, Declension, Gender, etc.",Latin,English,Special
141,"v, 3, tr","dēfendō, dēfendere, dēfendī, dēfēnsus",defend,
141,"v, 3, tr","īnstruō, īnstruere, īnstrūxī, īnstrūctus","draw up, equip",
141,"v, 3, tr","mittō, mittere, mīsī, missus",send,
141,adv,fortiter,"bravely, strongly",
143,"v, 3, tr","vincō, vincere, vīcī, victus",conquer,
143,"v, 3, tr","petō, petere, petīvī, petītus","seek, beg, request",
143,"v, 3, tr","pellō, pellere, pepulī, pulsus","drive, repulse, rout",
143,"n, 1","litterae, litterārum","letter (i.e., an epistle), dispatch",plural
145,"v, 3, tr","pōnō, pōnere, posuī, positus","put, place, set, pitch (w. castra)",
145,"v, 3, intr","contendō, contendere, contendī","strive, contend, hasten",has no fourth principal part
145,"v, 3, tr","agō, agere, ēgī, āctus","drive, do, act, treat",Not a helping verb
145,adv,ibi,there,
145,prep. w. abl.,dē,"concerning, about",
147,"v, 4, tr",audiō,hear,
147,"v, 4, tr",mūniō,"fortify, construct (w. viam or viās)",
147,"v, 4, intr","veniō, venīre, vēnī, ventum",come,
147,"v, 4, intr","coveniō, covenīre, covēnī, coventum","come together, assemble",
147,prep. w. abl.,per,through,
151,"v, intr","sum, esse, fuī, futūrus",am,
151,adv.,undique,"from all sides, on all sides",
151,"n, 2, n","tēlum, ī",dart,
153,intr,"absum, abesse, āfuī, āfutūrus","am away, am distant",ab (ā) w. abl.; like sum; read note on page 153
153,adv.,longē,"far, by far",
156,"v, 1, tr.",collocō,"place, station",
156,"v, 2, intr.","maneō, manēre, mānsī, mānsūrus",remain,
156,"v, 2, tr.","compleō, complēre, complēvī, complētus",fill (with),w. abl.; see note on page 156
156,"v, 3, intr.","cēdō, cēdere, cessī, cessūrus","give away, yield",
156,conj.,atque (ac),and,
